Document Title,Authors,Author Affiliations,Publication Title,Date Added To Xplore,Year,Volume,Issue,Start Page,End Page,Abstract,ISSN,ISBNs,DOI,Funding Information,PDF Link,Author Keywords,IEEE Terms,INSPEC Controlled Terms,INSPEC Non-Controlled Terms,Mesh_Terms,Article Citation Count,Reference Count,Copyright Year,License,Online Date,Issue Date,Meeting Date,Publisher,Document Identifier
Historical Value-Based Approach for Cost-Cognizant Test Case Prioritization to Improve the Effectiveness of Regression Testing,H. Park; H. Ryu; J. Baik,NA; NA; NA,2008 Second International Conference on Secure System Integration and Reliability Improvement,,2008,,,39,46,"Regression testing has been used to support software testing activities and assure the acquirement of appropriate quality through several versions of a software program. Regression testing, however, is too expensive because it requires many test case executions, and the number of test cases increases sharply as the software evolves. In this paper, we propose the Historical Value-Based Approach, which is based on the use of historical information, to estimate the current cost and fault severity for cost-cognizant test case prioritization. We also conducted a controlled experiment to validate the proposed approach, the results of which proved the proposed approachpsilas usefulness. As a result of the proposed approach, software testers who perform regression testing are able to prioritize their test cases so that their effectiveness can be improved in terms of average percentage of fault detected per cost.",,978-0-7695-3266,10.1109/SSIRI.2008.52,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4579792,Test Case Prioritization;Regression Testing;Software Testing;Software Engineering,Testing;Software;Software systems;Fault detection;Software testing;Current measurement;Probability,program testing;quality assurance;software cost estimation;software fault tolerance;software quality,historical value-based approach;cost-cognizant test case prioritization;regression testing;software testing activity;software program quality assurance;software program version;software fault severity detection;software cost estimation,,20,22,,,,,,IEEE,IEEE Conferences
Incorporating varying requirement priorities and costs in test case prioritization for new and regression testing,K. Ramasamy; S. Arul Mary,"Department of Information Technology, Bharathidasan Institute of Technology, Bharathidasan University, Trichy-24, Tamilnadu, India; Department of Information Technology, Bharathidasan Institute of Technology, Bharathidasan University, Trichy-24, Tamilnadu, India","2008 International Conference on Computing, Communication and Networking",,2008,,,1,9,"Test case prioritization schedules the test cases in an order that increases the effectiveness in achieving some performance goals. One of the most important performance goals is the rate of fault detection. Test cases should run in an order that increases the possibility of fault detection and also that detects the most severe faults at the earliest in its testing life cycle. Test case prioritization techniques have proved to be beneficial for improving regression testing activities. While code coverage based prioritization techniques are found to be taken by most scholars, test case prioritization based on requirements in a cost effective manner has not been taken for study so far. Hence, in this paper, we propose to put forth a model for system level test case prioritization (TCP) from software requirement specification to improve user satisfaction with quality software that can also be cost effective and to improve the rate of severe fault detection. The proposed model prioritizes the system test cases based on the six factors: customer priority, changes in requirement, implementation complexity, usability, application flow and fault impact. The proposed prioritization technique is experimented in three phases with student projects and two sets of industrial projects and the results show convincingly that the proposed prioritization technique improves the rate of severe fault detection.",,978-1-4244-3594-4978-1-4244-3595,10.1109/ICCCNET.2008.4787662,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4787662,Fault severity;Rate of fault detection;Regression testing;Requirement weight;Requirement cost;Test case prioritization;system testing;customer satisfaction,Costs;Fault detection;System testing;Software testing;Software quality;Life testing;Usability;Application software;Software engineering;Job shop scheduling,formal specification;program testing;regression analysis;scheduling;software fault tolerance;software quality,varying requirement priorities;test case prioritization scheduling;regression testing;fault detection;code coverage based prioritization techniques;software requirement specification;user satisfaction;software quality;customer priority;implementation complexity;application flow;fault impact,,5,30,,,,,,IEEE,IEEE Conferences
mod kaPoW: Protecting the web with transparent proof-of-work,E. Kaiser; Wu-chang Feng,"Portland State University, USA; Portland State University, USA",IEEE INFOCOM Workshops 2008,,2008,,,1,6,"Attacks from automated Web clients are a significant problem on the Internet. Web sites often employ Turing tests known as CAPTCHAs to combat automated agents. Unfortunately, such defenses require frequent human user input, are becoming less effective as computer vision techniques improve, and can be subverted by adversaries willing to hire humans to solve challenges. Several alternative defenses based upon cryptographic methods rather than human input have been proposed to achieve the same goals. Such ""proof-of-work"" techniques prioritize clients based on their willingness to solve computational challenges of client-specific difficulty set by the server. Unfortunately, few proof-of-work schemes have been deployed since they require wide-scale adoption of special client software to operate properly. To address these problems we present mocLkaPoW, a novel system that has the efficiency and human-transparency of proof-of-work schemes as well as the software backwards-compatibility of CAPTCHA schemes. The system leverages common Web technologies to deliver a challenge, solve it, and submit the client response, while providing accessibility for legacy clients. This paper describes and evaluates a prototype of this system.",,978-1-4244-2219,10.1109/INFOCOM.2008.4544602,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4544602,,Protection;Uniform resource locators;Humans;Access protocols;Filters;Web server;Java;Internet;Automatic testing;Robotics and automation,client-server systems;Internet;telecommunication security,mod_kaPoW;World Wide Web;transparent proof-of-work;Web client attacks;Internet;Web site;software backwards-compatibility;CAPTCHA scheme,,1,16,,,,,,IEEE,IEEE Conferences
Model for optimizing software testing period using non homogenous poisson process based on cumulative test case prioritization,P. R. Srivastava,"Computer Science and Information Systems Group, Birla Institute of Technology and Science (BITS) Pilani-333031, INDIA",TENCON 2008 - 2008 IEEE Region 10 Conference,,2008,,,1,6,"Most of the software organizations has trouble when deciding the release dates their product. This difficulty is due to the fact that an under tested software could lead to many bugs propping up at the client side which would in turn lead to expensive bug-fixes and more importantly loss of customer goodwill. On the other hand, testing beyond certain time would lead to loss of revenue to the organization due to the dilution of the early bird advantage. The aim of our paper is optimizes the time and cost of entire software. In this paper we used non homogeneous Poisson process model based on cumulative priority. Our paper also tries to answer when to release any software.",2159-3442;2159-3450,978-1-4244-2408-5978-1-4244-2409,10.1109/TENCON.2008.4766422,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4766422,Non Homogenous Poisson Process;Cumulative Priority;Software Life Cycle Length;Software Release Time;Optimal Testing Policy,Software testing;Computer bugs;Cost function;Logic testing;Stochastic processes;System testing;Computer science;Information systems;Birds;Life testing,higher order statistics;program debugging;program testing;software cost estimation;stochastic processes,software testing period optimization;nonhomogenous Poisson process model;cumulative test case prioritization;software organization;software release date;software bug fixing;software cost optimization;software time optimization,,1,14,,,,,,IEEE,IEEE Conferences
"Perspective on Embedded Systems: Challenges, Solutions and Research Priorities",D. Vernay,"CTO, THALES, Paris, France","2008 Design, Automation and Test in Europe",,2008,,,2,2,"This paper introduces THALES vision and research priorities for embedded systems and illustrates them through presentations of solutions and on-going research projects and initiatives. Thales effort related to mission-critical systems is focused on advanced high-performance embedded computing platforms, on middleware technologies, on software systems design and verification tools for safety and security and on the emergence of open standards in these domains. THALES is also actively contributing to the development of innovation eco-systems: the Joint Undertaking ARTEMIS in Europe; the Pole de Competitivite SYSTEM@TIC PARIS REGION in France.",1530-1591;1558-1101,978-3-9810801-3-1978-3-9810801-4,10.1109/DATE.2008.4484650,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4484650,,Embedded system;Mission critical systems;Embedded computing;Middleware;Software systems;Software design;Software safety;Security;Software standards;Technological innovation,embedded systems;middleware;program verification;software tools,THALES vision;mission-critical systems;advanced high-performance embedded computing platforms;middleware technologies;software systems design;verification tools,,,,,,,,,IEEE,IEEE Conferences
Prioritizing User-Session-Based Test Cases for Web Applications Testing,S. Sampath; R. C. Bryce; G. Viswanath; V. Kandimalla; A. G. Koru,NA; NA; NA; NA; NA,"2008 1st International Conference on Software Testing, Verification, and Validation",,2008,,,141,150,"Web applications have rapidly become a critical part of business for many organizations. However, increased usage of Web applications has not been reciprocated with corresponding increases in reliability. Unique characteristics, such as quick turnaround time, coupled with growing popularity motivate the need for efficient and effective Web application testing strategies. In this paper, we propose several new test suite prioritization strategies for Web applications and examine whether these strategies can improve the rate of fault detection for three Web applications and their preexisting test suites. We prioritize test suites by test lengths, frequency of appearance of request sequences, and systematic coverage of parameter-values and their interactions. Experimental results show that the proposed prioritization criteria often improve the rate of fault detection of the test suites when compared to random ordering of test cases. In general, the best prioritization metrics either (1) consider frequency of appearance of sequences of requests or (2) systematically cover combinations of parameter-values as early as possible.",2159-4848,978-0-7695-3127,10.1109/ICST.2008.42,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4539541,web application testing;pair-wise interaction coverage;pair-wise interaction testing;user-session-based testing;test case prioritization,System testing;Fault detection;Software testing;Application software;Frequency;Information systems;Computer science;Robustness;Computer bugs;Web server,Internet;program testing;software fault tolerance,user-session-based test case;Web application testing;application reliability;test suite prioritization;fault detection;prioritization metrics;request sequence,,30,30,,,,,,IEEE,IEEE Conferences
Providing the Guideline of Determining Quality Checklists Priorities Based on Evaluation Records of Software Products,C. Lee; B. Lee; C. Wu,NA; NA; NA,2008 15th Asia-Pacific Software Engineering Conference,,2008,,,169,176,"COTS (commercial-off-the-shelf) software products are usually provided in a packaged style without the source code but with many ready-to-use functions. Generally, their vendors are reluctant to disclose the source code. Thus, the major way of quality evaluation and certification requires dynamic behavior testing, essentially black-box testing. Since observing every aspect of external software behavior is almost impossible, it is crucial to designate an adequate range for quality evaluation such as an adequate number of quality checklists or product quality metrics for external behavior testing. Hence, to establish rules of selecting quality evaluation criteria in systematic ways, there have been attempts to analyze and utilize the past records of software evaluation. In this paper, multiple characteristics of software are mapped as nodes to affect and determine the priority ranks of external software quality metrics on Bayesian belief network. The nodes are set to be under the influence of multiple inheritances so that every external characteristic of COTS software is considered thoroughly.",1530-1362;1530-1362,978-0-7695-3446,10.1109/APSEC.2008.75,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4724545,software quality;checklist;priority,Guidelines;Software quality;Computer science;Certification;Software testing;Bayesian methods;Embedded software;Application software;Software engineering;Software packages,belief networks;software metrics;software packages;software quality,commercial-off-the-shelf software;dynamic behavior testing;black-box testing;quality evaluation criteria;software quality metrics;Bayesian belief network,,,14,,,,,,IEEE,IEEE Conferences
Quota-constrained test-case prioritization for regression testing of service-centric systems,Shan-Shan Hou; Shan-Shan Hou; Lu Zhang; Lu Zhang; Tao Xie; Jia-Su Sun; Jia-Su Sun,"Key Lab. of High Confidence Software Technol., Peking Univ., Beijing; Key Lab. of High Confidence Software Technol., Peking Univ., Beijing; Key Lab. of High Confidence Software Technol., Peking Univ., Beijing; Key Lab. of High Confidence Software Technol., Peking Univ., Beijing; Dept. of Comput. Sci., North Carolina State Univ., Raleigh, NC; Key Lab. of High Confidence Software Technol., Peking Univ., Beijing; Key Lab. of High Confidence Software Technol., Peking Univ., Beijing",2008 IEEE International Conference on Software Maintenance,,2008,,,257,266,"Test-case prioritization is a typical scenario of regression testing, which plays an important role in software maintenance. With the popularity of Web services, integrating Web services to build service-centric systems (SCSs) has attracted attention of many researchers and practitioners. During regression testing, as SCSs may use up constituent Web servicespsila request quotas (e.g., the upper limit of the number of requests that a user can send to a Web service during a certain time range), the quota constraint may delay fault exposure and the subsequent debugging. In this paper, we investigate quota-constrained test-case prioritization for SCSs, and propose quota-constrained strategies to maximize testing requirement coverage. We divide the testing time into time slots, and iteratively select and prioritize test cases for each time slot using integer linear programming (ILP). We performed an experimental study on our strategies together with three other strategies, and the results show that with the constraint of request quotas, our strategies can schedule test cases for execution in an order with higher effectiveness in exposing faults and achieving total and additional branch coverage.",1063-6773,978-1-4244-2613-3978-1-4244-2614,10.1109/ICSM.2008.4658074,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4658074,,Testing;Web services;Software;Partitioning algorithms;Integer linear programming;Computer science;Laboratories,integer programming;linear programming;program testing;regression analysis;software maintenance;Web services,quota-constrained test-case prioritization;regression testing;service-centric systems;software maintenance;Web services;quota constraint;integer linear programming,,10,22,,,,,,IEEE,IEEE Conferences
Ranking Attack-Prone Components with a Predictive Model,M. Gegick; L. Williams,NA; NA,2008 19th International Symposium on Software Reliability Engineering (ISSRE),,2008,,,315,316,"Limited resources preclude software engineers from finding and fixing all vulnerabilities in a software system. An early security risk analysis that ranks software components by probability of being attacked can provide an affordable means to prioritizing fortification efforts to the highest risk components. We created a predictive model using classification and regression trees and the following internal metrics: quantity of Klocwork static analysis warnings, file coupling, and quantity of changed and added lines of code. We validated the model against pre-release security testing failures on a large commercial telecommunications system. The model assigned a probability of attack to each file where upon ranking the probabilities in descending order we found that 72% of the attack-prone files are in the top 10% of the ranked files and 90% in the top 20% of the files.",1071-9458;2332-6549,978-0-7695-3405,10.1109/ISSRE.2008.24,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4700353,Attack-prone,Predictive models;Security;Performance analysis;Input variables;Buffer overflow;Software systems;Risk analysis;Classification tree analysis;Regression tree analysis;Failure analysis,probability;program diagnostics;regression analysis;security of data;trees (mathematics),attack-prone component;predictive model;security risk analysis;classification trees;regression trees;Klocwork static analysis warnings;file coupling,,2,4,,,,,,IEEE,IEEE Conferences
Scheduling Product Line Features for Effective Roadmapping,J. Savolainen; J. Kuusela,NA; NA,2008 15th Asia-Pacific Software Engineering Conference,,2008,,,195,202,"Large industrial product lines may produce tens of thousands of variants each year. Each variant typically contains both reusable assets as well as product specific code created by different organizational units. To produce this vast number of variants the organizational resources must be used efficiently. For roadmapping this means an ability to schedule production of reusable assets so that all variants can be completed according to their requirements. When aiming for centralized variability management, roadmapping requires effective management of product line feature dependences and priorities. In this paper, we first introduce the problems haunting feature roadmapping in industrial product lines. Then we investigate how these problems can be solved using a novel approach for organizing product lines based on our practical experiences. Finally, we discuss our experiences and compare our approach with results by other researchers.",1530-1362;1530-1362,978-0-7695-3446,10.1109/APSEC.2008.21,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4724548,Product line;reuse;roadmapping;feature modelling,Job shop scheduling;Software engineering;Computer industry;Production;Organizing;Testing;Technology management;Pricing;Portfolios,formal specification;product development;scheduling;software development management;software maintenance;software reusability,software product line feature dependency management;reusable asset;product specific code;organizational resource;requirements scheduling;centralized variability management;product line roadmapping;software product line evolution,,,13,,,,,,IEEE,IEEE Conferences
Scheduling Timed Modules for Correct Resource Sharing,C. Seceleanu; P. Pettersson; H. Hansson,NA; NA; NA,"2008 1st International Conference on Software Testing, Verification, and Validation",,2008,,,102,111,"Real-time embedded systems typically include concurrent tasks of different priorities with time-dependent operations accessing common resources. In this context, unsynchronized parallel executions may lead to hazard situations caused by e.g., race conditions. To be able to detect such faulty system behaviors before implementation, we introduce a unified model of resource constrained, scheduled real-time system descriptions, in Alur's and Henzinger's rigorous framework of timed reactive modules. We take a component-based design perspective and construct the realtime system model, by refinement, as a composition of realtime periodic preemptible tasks with encoded functionality, and a fixed-priority scheduler, all modeled as timed modules. For the model, we express the notions of race condition and redundant locking, formally, as invariance properties that can be verified by model-checking.",2159-4848,978-0-7695-3127,10.1109/ICST.2008.70,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4539537,real-time systems;component-based design;timed modules;resource management,Resource management;Real time systems;Scheduling;Embedded system;Protocols;Delay;Concurrent computing;Timing;Encoding;Software testing,embedded systems;parallel processing;peer-to-peer computing;program verification,resource sharing;real-time embedded systems;time-dependent operations;unsynchronized parallel executions;resource constrained unified model;component-based design;fixed-priority scheduler;invariance properties;model-checking verification,,,20,,,,,,IEEE,IEEE Conferences
Slack-based global multiprocessor scheduling of aperiodic tasks in parallel embedded real-time systems,L. Lundberg; H. Lennerstad,"Department of Systems and Software, School of Engineering, Blekinge Institute of Technology, 372 25 Ronneby, Sweden; Department of Systems and Software, School of Engineering, Blekinge Institute of Technology, 372 25 Ronneby, Sweden",2008 IEEE/ACS International Conference on Computer Systems and Applications,,2008,,,465,472,"We provide a constant time schedulability test and priority assignment algorithm for an on-line multiprocessor server handling aperiodic tasks. Dhall's effect is avoided by dividing tasks in two priority classes based on their utilization: heavy and light. The improvement in this paper is due to assigning priority of light tasks based on slack - not on deadlines. We prove that if the load on the multiprocessor stays below (3 - radic5)/2 ap 38.197%, the server can accept an incoming aperiodic task and guarantee that the deadlines of all accepted tasks will be met. This is better than the current state-of- the-art algorithm where the priorities of light tasks are based on deadlines (the corresponding bound is in that case 35.425%).",2161-5322;2161-5330,978-1-4244-1967-8978-1-4244-1968,10.1109/AICCSA.2008.4493574,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4493574,,Processor scheduling;Real time systems;Scheduling algorithm;Delay;Embedded software;Software systems;Software testing;System testing;Software algorithms;Admission control,embedded systems;multiprocessing systems;processor scheduling,slack-based global multiprocessor scheduling;aperiodic tasks;parallel embedded real-time systems;time schedulability test;priority assignment algorithm,,1,10,,,,,,IEEE,IEEE Conferences
Software development methods and usability: Perspectives from a survey in the software industry in Norway,B. Bygstad; G. Ghinea; E. Brevik,NA; NA; NA,Interacting with Computers,,2008,20,3,375,385,"This paper investigates the relationship between software development methodologies and usability. The point of departure is the assumption that two important disciplines in software development, one of software development methods (SDMs) and one of usability work, are not integrated in industrial software projects.Building on previous research we investigate two questions; (1) Will software companies generally acknowledge the importance of usability, but not prioritise it in industrial projects? and (2) To what degree are software development methods and usability perceived by practitioners as being integrated? To this end a survey in the Norwegian IT industry was conducted. From a sample of 259 companies we received responses from 78 companies.In response to our first research question, our findings show that although there is a positive bias towards usability, the importance of usability testing is perceived to be much less than that of usability requirements. Given the strong time and cost pressures associated with the software industry, we believe that these results highlight that there is a gap between intention and reality. Regarding our second research question our survey revealed that companies perceive usability and software development methods to be integrated. This is in contrast to earlier research, which, somewhat pessimistically, has argued for the existence of two different cultures, one of software development and one of usability. The findings give hope for the future, in particular because the general use of system development methods are pragmatic and adaptable.",0953-5438;1873-7951,,10.1016/j.intcom.2007.12.001,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8149869,Software development methods;Usability;Software industry;Survey,,,,,6,,,,,,,OUP,OUP Journals & Magazines
Software Quality model Analysis Program,A. A. Hamada; M. N. Moustafa; H. I. Shaheen,"EDS, 29 Emtedad Ramses st., Nasr city, Cairo 11471, Egypt; Ain-Shams University, Faculty of Engineering, Computer and Systems Department, 1 Elsarayat st., Abassia, Cairo 11571, Egypt; Ain-Shams University, Faculty of Engineering, Computer and Systems Department, 1 Elsarayat st., Abassia, Cairo 11571, Egypt",2008 International Conference on Computer Engineering & Systems,,2008,,,296,300,"It is vital that data is obtained so that actions can be taken to improve the performance. Such improvement can be measured in terms of improved quality, increased customer satisfaction and decreased cost of quality. Different researchers have proposed software quality models to help measure the quality of software products. These models often include metrics for this purpose. Some of the classical and recent models are discussed and analyzed in this paper showing the points of strength and weakness of each model type. A new comprehensive model is proposed and analyzed. A complete solution is discussed through the paper to enable an effective and efficient use of the proposed model to help the development team in prioritizing the important metrics while developing the software products according to some inputs from the user and the objectives of the software being developed. The solution developed is called the quality model analysis program (QAP) and is a fuzzy system that weights the proposed model attributes according to certain rules. The solution enables software project managers to better utilize their resources and take specific actions to better improve the quality of the software produced.",,978-1-4244-2115-2978-1-4244-2116,10.1109/ICCES.2008.4773015,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4773015,,Software quality;Software measurement;Costs;ISO standards;IEC standards;Software testing;Q factor;Performance analysis;Cities and towns;Data engineering,software metrics;software quality,software quality model analysis program;customer satisfaction;comprehensive model;software products;software project managers,,2,12,,,,,,IEEE,IEEE Conferences
Software Quality Requirements: How to Balance Competing Priorities,J. D. Blaine; J. Cleland-Huang,independent consultant; DePaul University,IEEE Software,,2008,25,2,22,24,"The elicitation, analysis, and specification of quality requirements involve careful balancing of a broad spectrum of competing priorities. Developers must therefore focus on identifying qualities and designing solutions that optimize the product's value to its stakeholders.",0740-7459;1937-4194,,10.1109/MS.2008.46,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4455627,Quality requirements;non-functional requirements;product value;architectural qualities,Software quality;Security;Safety;Usability;Testing;Terminology;Dictionaries;Taxonomy;Delay;Costs,,,,19,5,,,,,,IEEE,IEEE Journals & Magazines
Test Case Prioritization Based on Analysis of Program Structure,Z. Ma; J. Zhao,NA; NA,2008 15th Asia-Pacific Software Engineering Conference,,2008,,,471,478,"Test case prioritization techniques have been empirically proved to be effective in improving the rate of fault detection in regression testing. However, most of previous techniques assume that all the faults have equal severity, which dose not meet the practice. In addition, because most of the existing techniques rely on the information gained from previous execution of test cases or source code changes, few of them can be directly applied to non-regression testing. In this paper, aiming to improve the rate of severe faults detection for both regression testing and non-regression testing, we propose a novel test case prioritization approach based on the analysis of program structure. The key idea of our approach is the evaluation of testing-importance for each module (e.g., method) covered by test cases. As a proof of concept, we implement $Apros$, a test case prioritization tool, and perform an empirical study on two real, non-trivial Java programs. The experimental result represents that our approach could be a promising solution to improve the rate of severe faults detection.",1530-1362;1530-1362,978-0-7695-3446,10.1109/APSEC.2008.63,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4724580,Test case prioritization;call graph;program analysis,Fault detection;Software testing;Computer science;Computer bugs;Software engineering;Performance evaluation;Java;Information analysis;Fault location;System testing,Java;program testing;software engineering,test case prioritization;program structure analysis;regression testing;nontrivial Java programs,,11,21,,,,,,IEEE,IEEE Conferences
Test Case Prioritization for Multiple Processing Queues,B. Qu; C. Nie; B. Xu,NA; NA; NA,2008 International Symposium on Information Science and Engineering,,2008,2,,646,649,"Test case prioritization is an effective technique that helps to increase the rate of fault detection or code coverage in regression testing. However, all existing methods can only prioritize test cases to a single queue. Once there are two or more machines that participate in testing, all exiting techniques are not applicable any more. To extend the prioritization methods to parallel scenario, this paper defines the prioritization problem in such scenario and applies the task scheduling method to prioritization algorithms to help partitioning a test suite into multiple prioritized subsets. Besides, this paper also discusses the limitation of previous metrics and proposes a new measure of effectiveness of prioritization methods in a parallel scenario. Finally, a case study is performed to illustrate the algorithms and metrics presented in this article.",2160-1283;2160-1291,978-0-7695-3494-7978-1-4244-2727,10.1109/ISISE.2008.106,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4732476,Regression testing;parallel scenario;metrics;test case prioritization,Partitioning algorithms;Scheduling algorithm;Information science;Computer science;Fault detection;Life testing;Software testing;Performance evaluation;Education;Feedback,parallel processing;program diagnostics;program testing;scheduling;software metrics;software prototyping,multiple processing queue;test case prioritization;fault detection;regression testing;parallel scenario;task scheduling;software metrics;software life cycle,,,10,,,,,,IEEE,IEEE Conferences
"Testing Optimization for Mission-Critical, Complex, Distributed Systems",M. G. Stochel; R. Sztando,NA; NA,2008 32nd Annual IEEE International Computer Software and Applications Conference,,2008,,,847,852,"The goal of the research was to optimize the regression testing of the software application to address the identified problem of a missing, unclear or even contradictory requirement. The approach was mainly aimed at regression test prioritization and selection of regression test cases per test campaigns. A combination of subjective data based on expert knowledge and objective historical data were the inputs to the model where the output was determining the quality of test selection. Proposed model is aimed at finding newly introduced defects, and it could be extremely useful when the system is in the state of cleaning up or ordering requirements.",0730-3157;0730-3157,978-0-7695-3262,10.1109/COMPSAC.2008.96,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4591679,mission critical;testing optimization;six sigma;DMAIC;public safety,Testing;Software;Data models;Knowledge engineering;Stability analysis;Organizations;Optimization,distributed processing;program testing;regression analysis,mission-critical systems;complex systems;distributed systems;regression testing optimization;software application;regression test prioritization;regression test case selection,,3,9,,,,,,IEEE,IEEE Conferences
The use of explicit congestion notification to shape traffic of an intelligent satellite system,W. Almuhtadi; D. R. Murphy; B. Cheng,"Intelligent Satellite System Research, Ottawa, Ontario, Algonquin College, EION Inc., Canada; Intelligent Satellite System Research, Ottawa, Ontario, Algonquin College, EION Inc., Canada; Intelligent Satellite System Research, Ottawa, Ontario, Algonquin College, EION Inc., Canada",2008 IEEE Radio and Wireless Symposium,,2008,,,819,822,"Since the official standardization of explicit congestion notification (ECN) in 2001, the differentiated service (DS) bits 6 and 7 in packets are now classified for purposes of shaping and prioritization. These classifications are used to mark packet streams for controlling traffic flow in an intelligent satellite system (ISS). Using a forward link connection between a transmitting ground terminal to a geostationary satellite (GEO) acting as a relay, to a receiving hub back on the earth; a traffic shaping software which evaluates the ECN type or classification is used to control traffic flow and the results are observed.",2164-2958;2164-2974,978-1-4244-1462-8978-1-4244-1463,10.1109/RWS.2008.4463618,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4463618,ISS;ECN;Differentiated Service;Traffic Shaping;Congestion Control,Shape;Intelligent systems;Satellites;Traffic control;Testing;Throughput;Yarn;Open source software;Monitoring;Relays,DiffServ networks;satellite communication;telecommunication congestion control;telecommunication traffic,explicit congestion notification;intelligent satellite system;differentiated service;packet streams;traffic flow control;forward link connection;geostationary satellite,,2,7,,,,,,IEEE,IEEE Conferences
Two Case Studies of User Experience Design and Agile Development,M. Najafi; L. Toyoshiba,NA; NA,Agile 2008 Conference,,2008,,,531,536,"How can user experience design (UED) practices be leveraged in agile development to improve product usability? UED practices identify the needs and goals of the user through user research and testing. By incorporating UED in agile development, user research and testing can be utilized to prioritize features in the product backlog and to iteratively refine designs to achieve better usability. Furthermore, integrating UED and Agile processes can be accomplished with little or no impact on release schedules. The cases studies presented in this paper describe two examples of UED and agile integration at VeriSign.",,978-0-7695-3321,10.1109/Agile.2008.67,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4599534,Agile;User Experience;VeriSign;Usability;User Experience Design;UED;Sprint;Scrum;security,Testing;Web sites;Usability;Book reviews;Planning;Schedules;Security,program testing;software development management;software engineering;software performance evaluation,user experience design;agile development;product usability;VeriSign,,14,7,,,,,,IEEE,IEEE Conferences
Using Statistical Models to Predict Software Regressions,A. Tarvo,NA,2008 19th International Symposium on Software Reliability Engineering (ISSRE),,2008,,,259,264,"Incorrect changes made to the stable parts of a software system can cause failures - software regressions. Early detection of faulty code changes can be beneficial for the quality of a software system when these errors can be fixed before the system is released. In this paper, a statistical model for predicting software regressions is proposed. The model predicts risk of regression for a code change by using software metrics: type and size of the change, number of affected components, dependency metrics, developerpsilas experience and code metrics of the affected components. Prediction results could be used to prioritize testing of changes: the higher is the risk of regression for the change, the more thorough testing it should receive.",1071-9458;2332-6549,978-0-7695-3405,10.1109/ISSRE.2008.21,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4700331,software metrics;software regression;testing;statistical model,Predictive models;Software systems;Software metrics;Computer bugs;Manufacturing;Software testing;Software reliability;Reliability engineering;Fault detection;Computer industry,program debugging;software metrics;software quality;statistical analysis,statistical models;software regressions;software system;faulty code;software quality;software metrics;dependency metrics,,2,12,,,,,,IEEE,IEEE Conferences
A Hybrid Approach to Build Prioritized Pairwise Interaction Test Suites,X. Chen; Q. Gu; X. Wang; A. Li; D. Chen,NA; NA; NA; NA; NA,2009 International Conference on Computational Intelligence and Software Engineering,,2009,,,1,4,"Traditional interaction testing aims to build test suites that cover all t-way interactions of inputs. But in many test scenarios, the entire test suites cannot be fully run due to the limited budget. Therefore it is necessary to take the importance of interactions into account and prioritize these tests of the test suite. In the paper, we use the hybrid approach to build prioritized pairwise interaction test suites (PITS). It adopts a one-test-at-a-time strategy to construct final test suites. But to generate a single test it firstly generates a candidate test and then applies a specific metaheuristic search strategy to enhance this test. Here we experiment four different metaheuristic search strategies. In the experiments, we compare our approach to weighted density algorithm (WDA). Meanwhile, we also analyze the effectiveness of four different search strategies and the effectiveness of the increasing iterations. Empirical results demonstrate the effectiveness of our proposed approach.",,978-1-4244-4507,10.1109/CISE.2009.5365886,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5365886,,Software testing;Greedy algorithms;Simulated annealing;Laboratories;Computer science;Statistical analysis;Programming;Costs;Application software;Ant colony optimization,program testing,prioritized pairwise interaction test suites;t-way interactions;metaheuristic search strategy;weighted density algorithm,,1,11,,,,,,IEEE,IEEE Conferences
